epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.44162,0,58.6495,0,0,0,0,0,0,90.4688,0,0.00028,0.00028,0.00028
2,9.89975,0,52.9019,0,0,0,0,0,0,91.6875,0,0.000568516,0.000568516,0.000568516
3,11.3314,0,45.2857,0,0,0,0,0,0,79.375,0,0.000845152,0.000845152,0.000845152
4,12.7521,0,41.0638,0,0,0,0,0,0,75.0938,0,0.00110991,0.00110991,0.00110991
5,14.0834,0,39.6567,0,0,0,0,0,0,50.1406,0,0.00136278,0.00136278,0.00136278
6,16.8384,0,37.0125,0,0,0,0,0,0,31.8984,0,0.00160378,0.00160378,0.00160378
